instr,freq,cycle,mean,stddev,min,max
addi,3155,3246,1.0288431061806655,0.8740628265918041,1,33
andi,132,132,1.0,0.0,1,1
auipc,2005,2042,1.0184538653366584,0.7620412301183394,1,35
bge,201,410,2.0398009950248754,0.3284335809770947,2,5
bltu,134,150,1.1194029850746268,0.6113940044257924,1,5
c.add,135,135,1.0,0.0,1,1
c.addi,5,5,1.0,0.0,1,1
c.addi16sp,9,9,1.0,0.0,1,1
c.addi4spn,8,42,5.25,11.24444307202451,1,35
c.addiw,402,402,1.0,0.0,1,1
c.andi,2,2,1.0,0.0,1,1
c.bnez,3,40,13.333333333333334,15.369522511198003,1,35
c.j,4,93,23.25,13.91716565971678,1,36
c.ldsp,7,7,1.0,0.0,1,1
c.li,4,4,1.0,0.0,1,1
c.lw,9,34,3.7777777777777777,5.028314888437671,2,18
c.mv,16,30,1.875,3.3888604279314896,1,15
c.nop,4,4,1.0,0.0,1,1
c.or,3,3,1.0,0.0,1,1
c.sdsp,12,28,2.3333333333333335,4.422166387140533,1,17
c.srli,1,1,1.0,0.0,1,1
c.sw,9,25,2.7777777777777777,5.028314888437671,1,17
fadd.s,800,2600,3.25,1.299038105676658,1,4
fdiv.s,200,800,4.0,0.0,4,4
flw,2600,6814,2.620769230769231,1.5148087543086677,1,15
fmul.s,800,2018,2.5225,1.608413426330432,1,19
fsw,800,800,1.0,0.0,1,1
jal,7,193,27.571428571428573,13.64715713836342,1,36
ld,547,1002,1.8318098720292504,1.1868617370461276,1,23
li,1,1,1.0,0.0,1,1
lw,737,1472,1.9972862957937585,0.05202249528542961,1,2
mv,3,3,1.0,0.0,1,1
ret,6,12,2.0,1.4142135623730951,1,4
sb,132,180,1.3636363636363635,2.384523099746182,1,17
sd,142,192,1.352112676056338,3.1336366469633066,1,35
sext.w,201,201,1.0,0.0,1,1
slli,1,1,1.0,0.0,1,1
slliw,201,201,1.0,0.0,1,1
sub,2,2,1.0,0.0,1,1
sw,207,235,1.1352657004830917,1.9414280320937443,1,29
